Time (s),Memory Usage (MB),Frame Rate (FPS)
0.0,14.84765625,58
1.0174365043640137,14.84765625,133
2.0254967212677,14.84765625,43
3.0489048957824707,14.84765625,55
4.067207098007202,14.84765625,48
5.089026212692261,14.84765625,47
6.1112401485443115,14.84765625,47
7.133671522140503,14.84765625,128
8.142632246017456,14.84765625,47
9.164038896560669,14.84765625,44
10.187892436981201,14.84765625,59
11.205738544464111,14.84765625,49
12.226137161254883,14.84765625,180
13.233037233352661,14.84765625,62
14.249834299087524,14.84765625,59
15.267269134521484,14.84765625,70
16.282217025756836,14.84765625,43
17.306727409362793,14.84765625,114
18.31662678718567,14.84765625,44
19.339913368225098,14.84765625,51
20.36057472229004,14.84765625,48
21.38208508491516,14.84765625,21
22.42924427986145,14.84765625,66
23.4449303150177,14.84765625,81
24.458130598068237,14.84765625,50
25.478302717208862,14.84765625,65
26.49482250213623,14.84765625,85
27.507482528686523,14.84765625,146
28.515299320220947,14.8203125,66
29.53108549118042,14.8203125,34
30.56131410598755,14.8203125,67
31.57713532447815,14.8203125,73
32.59123635292053,14.8203125,138
33.5989191532135,14.8203125,53
34.6180899143219,14.8203125,37
35.6458306312561,14.8203125,62
36.662235736846924,14.8203125,66
37.678030252456665,14.8203125,66
38.69411659240723,14.8203125,66
39.71038746833801,14.8203125,71
40.72547626495361,14.8203125,75
41.74010443687439,14.8203125,102
42.75042200088501,14.8203125,42
43.77469873428345,14.8203125,141
44.782546043395996,14.8203125,40
45.80782461166382,14.8203125,54
46.82659840583801,14.8203125,66
47.84236717224121,14.8203125,65
48.857763051986694,14.8203125,116
49.86741852760315,14.8203125,62
50.88954567909241,14.8203125,111
51.89918041229248,14.8203125,61
52.916099071502686,14.8203125,58
53.93344593048096,14.8203125,62
54.94982647895813,14.8203125,71
55.96455407142639,14.8203125,65
56.98060488700867,14.8203125,64
57.996737003326416,14.8203125,61
59.01369619369507,14.8203125,57
60.03174591064453,14.8203125,37
61.05878782272339,14.8203125,106
62.06850600242615,14.8203125,41
63.09413695335388,14.8203125,58
64.11239242553711,14.8203125,65
65.12795734405518,14.8203125,62
66.14437007904053,14.8203125,60
67.16218948364258,14.8203125,68
68.17766880989075,14.8203125,68
69.19324088096619,14.8203125,64
70.20934534072876,14.8203125,141
71.2174220085144,14.8203125,40
72.24297285079956,14.8203125,73
73.25721836090088,14.8203125,54
74.27674436569214,14.8203125,60
75.2940628528595,14.8203125,55
76.31305813789368,14.8203125,58
77.3303873538971,14.8203125,63
78.34703731536865,14.8203125,72
79.36154890060425,14.8203125,74
80.37596535682678,14.8203125,53
81.39490008354187,14.8203125,61
82.412522315979,14.8203125,65
83.42835068702698,14.8203125,71
84.44264912605286,14.8203125,133
85.4510247707367,14.8203125,36
86.47952127456665,14.8203125,67
87.49564933776855,14.8203125,68
88.51076126098633,14.8203125,75
89.52480244636536,14.8203125,131
90.53345155715942,14.8203125,71
91.54802560806274,14.8203125,55
92.56703782081604,14.8203125,56
93.58584237098694,14.8203125,45
94.60889291763306,14.8203125,127
95.61721348762512,14.8203125,57
96.6358289718628,14.8203125,41
97.66053986549377,14.8203125,55
98.67891526222229,14.8203125,73
99.6928825378418,14.8203125,150
100.70065569877625,14.8203125,55
101.71911811828613,14.8203125,42
102.7433168888092,14.8203125,122
103.7521870136261,14.8203125,80
104.766028881073,14.8203125,75
105.78007674217224,14.8203125,65
106.79647254943848,14.8203125,61
107.81364727020264,14.8203125,58
108.83160185813904,14.8203125,72
109.84613943099976,14.8203125,59
110.86296057701111,14.8203125,60
111.87988090515137,14.8203125,79
112.8936059474945,14.8203125,122
113.90222215652466,14.8203125,40
114.92698574066162,14.8203125,53
115.94652247428894,14.8203125,71
116.9610550403595,14.8203125,69
117.97632384300232,14.8203125,102
118.98666667938232,14.8203125,60
120.00318813323975,14.8203125,78
121.01699042320251,14.8203125,37
122.04514002799988,14.8203125,46
123.06681513786316,14.8203125,60
124.08344435691833,14.8203125,39
125.10922169685364,14.8203125,53
126.12901997566223,14.8203125,73
127.14411640167236,14.8203125,65
128.15974831581116,14.8203125,142
129.16775751113892,14.8203125,71
130.1826364994049,14.8203125,51
131.20238041877747,14.8203125,68
132.21810007095337,14.8203125,59
133.2354838848114,14.765625,42
134.26044964790344,14.765625,105
135.2709619998932,14.765625,77
136.28425097465515,14.765625,62
137.30094861984253,14.765625,38
138.32760882377625,14.765625,124
139.33616518974304,14.765625,36
140.36475086212158,14.765625,69
141.38003206253052,14.765625,66
142.39600706100464,14.765625,60
143.4140121936798,14.765625,56
144.43295216560364,14.765625,67
145.44841814041138,14.765625,66
146.4643907546997,14.765625,68
147.47929620742798,14.765625,56
148.4973726272583,14.765625,53
149.51722192764282,14.765625,47
150.53916215896606,14.765625,88
151.5509192943573,14.765625,38
152.5773479938507,14.765625,124
153.58672285079956,14.765625,41
154.61176586151123,14.765625,62
155.6285650730133,14.765625,124
156.63728785514832,14.765625,41
157.66222739219666,14.765625,63
158.67892980575562,14.765625,58
159.6970329284668,14.765625,64
160.71312427520752,14.765625,60
161.73066329956055,14.765625,66
162.746399641037,14.765625,66
163.76261830329895,14.765625,76
164.77661657333374,14.765625,133
165.7848777770996,14.765625,61
166.80198216438293,14.765625,37
167.82934999465942,14.765625,71
168.84449434280396,14.765625,142
169.8523621559143,14.765625,58
170.86962366104126,14.765625,38
171.89597415924072,14.765625,58
172.91375064849854,14.765625,67
173.92884039878845,14.765625,62
174.94565773010254,14.765625,72
175.96010971069336,14.765625,63
176.97685408592224,14.765625,142
177.9848415851593,14.765625,59
179.0026571750641,14.765625,69
180.01829624176025,14.765625,63
181.03485012054443,14.765625,60
182.05225324630737,14.765625,40
183.07726860046387,14.765625,58
184.09468173980713,14.765625,132
185.1028549671173,14.765625,60
186.12022185325623,14.765625,37
187.14800214767456,14.765625,68
188.16359996795654,14.765625,71
189.17867875099182,14.765625,62
190.19520330429077,14.765625,141
191.20311450958252,14.765625,38
192.22945022583008,14.765625,65
193.24587774276733,14.765625,59
194.26370692253113,14.765625,59
195.28152918815613,14.765625,59
196.29961466789246,14.765625,71
197.31421971321106,14.765625,65
198.3305082321167,14.765625,70
199.3455560207367,14.765625,117
200.35497975349426,14.765625,72
201.36985516548157,14.765625,68
202.38485980033875,14.765625,52
203.4044713973999,14.765625,59
204.42161107063293,14.765625,65
205.43758344650269,14.765625,45
206.4601593017578,14.765625,102
207.47062706947327,14.765625,41
208.4953851699829,14.765625,151
209.50271248817444,14.765625,56
210.52105236053467,14.765625,66
211.53703498840332,14.765625,64
212.55303716659546,14.765625,60
213.57036328315735,14.765625,63
214.58686590194702,14.765625,33
215.61721014976501,14.765625,62
216.6341757774353,14.765625,54
217.65338611602783,14.765625,55
218.67241311073303,14.765625,73
219.68719911575317,14.765625,39
220.71401953697205,14.765625,70
221.72932720184326,14.765625,123
222.7384068965912,14.765625,43
223.7617061138153,14.765625,57
224.78032732009888,14.765625,71
225.795392036438,14.765625,110
226.80495071411133,14.765625,60
227.82216477394104,14.765625,42
228.84796476364136,14.765625,55
229.86667370796204,14.765625,68
230.88220620155334,14.765625,48
231.90380001068115,14.765625,64
232.92031598091125,14.765625,61
233.93724989891052,14.765625,41
234.96175074577332,14.765625,125
235.970219373703,14.765625,59
236.98782587051392,14.765625,72
238.00264930725098,14.765625,68
239.0180971622467,14.765625,71
240.0331790447235,14.765625,81
241.0463993549347,14.765625,127
242.05550026893616,14.765625,71
243.06984496116638,14.765625,66
244.08513402938843,14.765625,66
245.10071420669556,14.765625,79
246.11452913284302,14.765625,72
247.1292703151703,14.765625,123
248.1376416683197,14.765625,64
249.15418338775635,14.765625,63
250.1703577041626,14.765625,66
251.18645668029785,14.765625,66
252.20187664031982,14.765625,64
253.2179834842682,14.765625,70
254.23341536521912,14.765625,66
255.24917364120483,14.765625,66
256.2650601863861,14.765625,79
257.27834010124207,14.765625,123
258.2871072292328,14.765625,65
259.3037488460541,14.765625,70
260.31918001174927,14.765625,68
261.3344871997833,14.765625,75
262.34868907928467,14.765625,67
263.36488676071167,14.765625,66
264.38035917282104,14.765625,125
265.3885645866394,14.765625,76
266.40263986587524,14.765625,58
267.4210910797119,14.765625,64
268.4374535083771,14.765625,63
269.4541461467743,14.765625,59
270.47190499305725,14.765625,70
271.486927986145,14.765625,61
272.50374150276184,14.765625,51
273.5231964588165,14.765625,46
274.54615092277527,14.765625,124
275.5545835494995,14.765625,64
276.57134985923767,14.765625,71
277.58654379844666,14.765625,67
278.6025319099426,14.765625,62
279.61920619010925,14.765625,59
280.63658475875854,14.765625,62
281.6536033153534,14.765625,56
282.6714804172516,14.765625,41
283.6966383457184,14.765625,64
284.71314692497253,14.765625,60
285.73055148124695,14.765625,122
286.73930406570435,14.765625,75
287.753937959671,14.765625,60
288.77176451683044,14.765625,41
289.796724319458,14.765625,127
290.80505537986755,14.765625,41
291.8297486305237,14.765625,133
292.8381884098053,14.765625,66
293.8538978099823,14.765625,36
294.88227820396423,14.765625,67
295.89758348464966,14.765625,142
296.9054181575775,14.765625,65
297.92116141319275,14.765625,37
298.9486610889435,14.765625,73
299.9628059864044,14.765625,59
