Time (s),Memory Usage (MB),Frame Rate (FPS),CPU Percentage
0.1005864143371582,14.828125,34.67141896249887,0.0
2.5160574913024902,14.828125,32.81962335004977,0.0
4.807269811630249,14.828125,31.1834610718226,0.0
7.151799917221069,14.828125,29.11210976429856,0.0
9.47006368637085,14.828125,26.68577876726471,0.0
11.82435917854309,14.828125,25.85788506368044,0.0
14.272326946258545,14.828125,24.64374995071696,0.0
16.77461075782776,14.828125,23.41216730333907,0.0
19.374603271484375,14.828125,22.61175614694854,0.0
21.75761580467224,14.828125,21.263845663145858,0.0
24.245598793029785,14.828125,20.366598777996774,0.0
26.72608709335327,14.828125,18.993334289324398,0.0
29.190683603286743,14.828125,18.775481849265688,0.0
31.864149808883667,14.828125,17.842335730779787,0.0
34.453309774398804,14.828125,17.115293370382016,0.0
36.981903076171875,14.828125,16.606151895488587,0.0
39.61071157455444,14.828125,16.142877762325604,0.0
42.286017179489136,14.828125,14.169818664107236,0.0
44.84494662284851,14.828125,14.854137016416562,0.0
47.63469219207764,14.828125,14.328892013651396,0.0
50.17420411109924,14.828125,13.905730273323774,0.0
52.76415419578552,14.828125,13.713121498251416,0.0
55.394615173339844,14.828125,13.165430213345756,0.0
58.08608317375183,14.828125,12.969880232422538,0.0
60.84928107261658,14.828125,12.353281031439744,0.0
63.55993723869324,14.828125,12.3188536264293,0.0
66.40603399276733,14.828125,11.85277666109476,0.0
69.36612844467163,14.828125,11.402887781328673,0.0
72.31941485404968,14.828125,11.003844009501684,0.0
75.36127495765686,14.828125,10.87477694349362,0.0
77.98737239837646,14.828125,10.629292784832282,0.0
80.70265769958496,14.828125,10.505325244864,0.0
83.46972966194153,14.828125,9.968725389710896,0.0
86.55372738838196,14.828125,9.88161821379319,0.0
89.26169490814209,14.828125,9.684188915283643,0.0
92.01728200912476,14.828125,9.45202812167574,0.0
95.12071180343628,14.828125,9.164424437484517,0.0
98.28813457489014,14.828125,8.80402246004107,0.0
101.06521558761597,14.828125,8.656393131057417,0.0
103.88051986694336,14.7734375,8.599134162735762,0.0
106.80972504615784,14.7734375,8.585369576313575,0.0
109.74191427230835,14.7734375,8.312882103930745,0.0
112.7519474029541,14.7734375,7.944164878490075,0.0
115.71762800216675,14.7734375,7.963671500317768,0.0
118.70382475852966,14.7734375,7.858685124095625,0.0
121.74105978012085,14.7734375,7.698666494729758,0.0
124.85386848449707,14.7734375,7.586469152942336,0.0
128.0325927734375,14.7734375,7.49180817599624,0.0
131.29033780097961,14.7734375,7.362950186882206,0.0
134.5954213142395,14.7734375,7.106379841333522,0.0
137.80496430397034,14.7734375,6.883023023708747,0.0
141.1201856136322,14.7734375,6.808417927923612,0.0
144.64516234397888,14.7734375,6.815152615604435,0.0
148.10862803459167,14.7734375,5.989859168428899,0.0
151.30275559425354,14.7734375,6.464774827276127,0.0
154.74198079109192,14.7734375,5.836543432218381,0.0
158.61655569076538,14.7734375,6.382074757800347,0.0
162.20906138420105,14.7734375,5.57631700990451,0.0
165.46167421340942,14.7734375,5.894667347077842,0.0
169.18302416801453,14.7734375,5.247870020756144,0.0
172.57209873199463,14.7734375,5.756900879325485,0.0
176.43175101280212,14.7734375,5.074068718113492,0.0
179.9684603214264,14.7734375,5.963621906368859,0.0
183.27992248535156,14.7734375,5.778342771292137,0.0
186.64120316505432,14.7734375,5.641324583013086,0.0
190.03186511993408,14.7734375,5.425891813143096,0.0
193.5157289505005,14.7734375,5.4996626873552,0.0
197.00515794754028,14.7734375,5.429490822350676,0.0
200.34371042251587,14.7734375,5.366769499930665,0.0
203.73747849464417,14.7734375,5.217482043166845,0.0
207.19494676589966,14.7734375,5.038109096891373,0.0
210.74877405166626,14.7734375,5.162675918180255,0.0
214.31106972694397,14.7734375,4.854184347358993,0.0
217.97681546211243,14.7734375,4.9018927024698495,0.0
221.6669464111328,14.7734375,5.013963889432818,0.0
225.3038308620453,14.7734375,4.779832928906339,0.0
229.07513737678528,14.7734375,4.995743626430214,0.0
232.8860785961151,14.7734375,4.779333397693285,0.0
236.78756380081177,14.7734375,4.831244625241202,0.0
240.72986960411072,14.7734375,4.7416376478442075,0.0
244.77007913589478,14.7734375,4.6233111044512,0.0
248.85859990119934,14.7734375,4.599858324363648,0.0
252.95133185386658,14.7734375,4.121063663014361,0.0
257.05880784988403,14.7734375,4.3899004194982005,0.0
261.1418433189392,14.7734375,4.401009415519533,0.0
265.17256236076355,14.7734375,3.895652607516061,0.0
269.4254415035248,14.7734375,4.200628750110666,0.0
273.5757601261139,14.7734375,4.085284397073209,0.0
277.80415201187134,14.7734375,4.193723170656113,0.0
282.05870628356934,14.7734375,4.033998539692446,0.0
286.4122939109802,14.7734375,4.024287379189744,0.0
290.82877945899963,14.7734375,3.9409923103363003,0.0
295.3741047382355,14.7734375,3.574505199116069,0.0
300.1930100917816,14.7734375,3.827253103902315,0.0
304.78951692581177,14.7734375,3.7518158788853135,0.0
309.439697265625,14.7734375,3.974254777550324,0.0
314.1585738658905,14.7734375,3.923172512684168,0.0
318.96885418891907,14.7734375,3.747037498478346,0.0
323.8837356567383,14.7734375,3.725366017209874,0.0
328.83790278434753,14.7734375,3.626220109746244,0.0
333.89393496513367,14.7734375,3.653331701510664,0.0
339.0077979564667,14.7734375,3.620813886546031,0.0
343.9592750072479,14.7734375,3.638368046394639,0.0
349.178599357605,14.7734375,3.4960084323728386,0.0
354.1136929988861,14.7734375,3.4662555687567145,0.0
359.10295724868774,14.7734375,3.543903201827875,0.0
364.3094825744629,14.7734375,3.31011015218901,0.0
369.5702373981476,14.7734375,3.348911352640393,0.0
374.8030605316162,14.7734375,3.302087331954128,0.0
380.0824046134949,14.7734375,3.269239885380416,0.0
385.4423575401306,14.7734375,3.182402586655468,0.0
390.87865447998047,14.7734375,3.2477286197955966,0.0
396.4110059738159,14.7734375,3.161465528959212,0.0
401.9293246269226,14.7734375,3.1591109945750073,0.0
407.6022741794586,14.7734375,3.0048776676727504,0.0
413.32656836509705,14.7734375,3.0726190467037617,0.0
