Time (s),Memory Usage (MB),Frame Rate (FPS)
0.0,14.828125,80
1.0138530731201172,14.828125,179
2.034420967102051,14.828125,54
3.0532565116882324,14.828125,29
4.09737229347229,14.828125,48
5.118519067764282,14.828125,29
6.162412166595459,14.828125,149
7.180128574371338,14.828125,183
8.199277639389038,14.828125,53
9.218780755996704,14.828125,29
10.264956712722778,14.828125,47
11.296113729476929,14.828125,45
12.318565368652344,14.828125,57
13.347428560256958,14.828125,145
14.364603757858276,14.828125,222
15.381749391555786,14.828125,47
16.413363695144653,14.828125,170
17.43449831008911,14.828125,44
18.463465929031372,14.828125,44
19.497536420822144,14.828125,158
20.519006490707397,14.828125,59
21.546761751174927,14.828125,171
22.568076372146606,14.828125,54
23.59605073928833,14.828125,150
24.61444401741028,14.828125,203
25.635051012039185,14.828125,56
26.668920516967773,14.828125,59
27.698341608047485,14.828125,229
28.718666553497314,14.80078125,56
29.74734902381897,14.80078125,185
30.765055656433105,14.80078125,47
31.796122550964355,14.80078125,123
32.8166298866272,14.80078125,50
33.84022641181946,14.80078125,78
34.864338397979736,14.80078125,192
35.88307189941406,14.80078125,224
36.90249800682068,14.80078125,30
37.93659567832947,14.80078125,61
38.96340894699097,14.80078125,131
39.98213291168213,14.80078125,47
41.013625144958496,14.80078125,136
42.03142809867859,14.80078125,201
43.052006483078,14.80078125,29
44.08641171455383,14.80078125,30
45.13206100463867,14.80078125,49
46.1530544757843,14.80078125,29
47.20157313346863,14.80078125,52
48.23193025588989,14.80078125,47
49.265244483947754,14.80078125,214
50.28463935852051,14.80078125,53
51.31374764442444,14.80078125,133
52.331575870513916,14.80078125,197
53.352534532547,14.80078125,57
54.38135385513306,14.80078125,154
55.39945840835571,14.80078125,196
56.41903328895569,14.80078125,56
57.4517617225647,14.80078125,54
58.48181962966919,14.80078125,203
59.502384185791016,14.80078125,54
60.53069758415222,14.80078125,165
61.54853296279907,14.80078125,45
62.584503173828125,14.80078125,52
63.6147243976593,14.80078125,45
64.64814972877502,14.80078125,45
65.67037272453308,14.80078125,30
66.71607828140259,14.80078125,47
67.74677014350891,14.80078125,120
68.76772093772888,14.80078125,52
69.79712986946106,14.80078125,152
70.81606078147888,14.80078125,178
71.83608770370483,14.80078125,19
72.88769125938416,14.80078125,62
73.9176914691925,14.80078125,51
74.95268750190735,14.80078125,56
75.98391580581665,14.80078125,47
77.0139811038971,14.80078125,152
78.03190040588379,14.80078125,186
79.05004334449768,14.80078125,49
80.07052397727966,14.80078125,59
81.09909415245056,14.80078125,48
82.12034487724304,14.80078125,59
83.1489725112915,14.80078125,44
84.18083596229553,14.80078125,155
85.19922947883606,14.80078125,207
86.21994876861572,14.80078125,57
87.24973917007446,14.80078125,147
88.26881527900696,14.80078125,53
89.29754638671875,14.80078125,148
90.31949830055237,14.80078125,55
91.34952306747437,14.80078125,49
92.37069940567017,14.80078125,59
93.40252208709717,14.80078125,51
94.43137669563293,14.80078125,162
95.45008778572083,14.80078125,45
96.47506785392761,14.80078125,79
97.4977548122406,14.80078125,43
98.53341794013977,14.80078125,181
99.55434823036194,14.80078125,59
100.5832417011261,14.80078125,174
101.60380363464355,14.80078125,58
102.63160681724548,14.80078125,43
103.66363978385925,14.80078125,112
104.68379187583923,14.80078125,32
105.714998960495,14.80078125,43
106.7477593421936,14.80078125,149
107.76630759239197,14.80078125,48
108.78765892982483,14.80078125,59
109.81604528427124,14.80078125,191
110.83745813369751,14.80078125,29
111.88238477706909,14.80078125,181
112.90020990371704,14.80078125,47
113.93595361709595,14.80078125,52
114.96764612197876,14.80078125,49
115.9972038269043,14.80078125,134
117.01756548881531,14.80078125,53
118.03691363334656,14.80078125,56
119.06631803512573,14.80078125,163
120.08583974838257,14.80078125,52
121.11622428894043,14.80078125,45
122.14794826507568,14.80078125,145
123.16741418838501,14.80078125,48
124.19208669662476,14.80078125,78
125.21648812294006,14.80078125,48
126.2380793094635,14.80078125,59
127.26834678649902,14.80078125,50
128.28895545005798,14.80078125,57
129.3156726360321,14.80078125,44
130.33913588523865,14.80078125,62
131.36746430397034,14.80078125,239
132.38750457763672,14.80078125,29
133.4319543838501,14.7421875,155
134.44929385185242,14.7421875,142
135.46759629249573,14.7421875,214
136.48685956001282,14.7421875,50
137.517897605896,14.7421875,47
138.54989337921143,14.7421875,190
139.56982231140137,14.7421875,26
140.61586570739746,14.7421875,167
141.63509964942932,14.7421875,288
142.65468168258667,14.7421875,59
143.6839518547058,14.7421875,49
144.7049639225006,14.7421875,59
145.7342824935913,14.7421875,231
146.75372338294983,14.7421875,54
147.78137373924255,14.7421875,41
148.81652641296387,14.7421875,147
149.8366038799286,14.7421875,52
150.8698959350586,14.7421875,28
151.91686725616455,14.7421875,191
152.93579292297363,14.7421875,50
153.9600658416748,14.7421875,34
154.99824857711792,14.7421875,136
156.01572799682617,14.7421875,152
157.03332042694092,14.7421875,176
158.05098414421082,14.7421875,46
159.08308339118958,14.7421875,44
160.10966181755066,14.7421875,78
161.1343502998352,14.7421875,41
162.16932940483093,14.7421875,27
163.20633101463318,14.7421875,62
164.2336790561676,14.7421875,173
165.25465178489685,14.7421875,56
166.28638672828674,14.7421875,51
167.31563210487366,14.7421875,147
168.3362057209015,14.7421875,42
169.35998368263245,14.7421875,36
170.38897061347961,14.7421875,55
171.41801261901855,14.7421875,46
172.4523675441742,14.7421875,52
173.47206830978394,14.7421875,28
174.5079743862152,14.7421875,33
175.5393238067627,14.7421875,30
176.58266067504883,14.7421875,126
177.6010229587555,14.7421875,190
178.62009263038635,14.7421875,51
179.64028763771057,14.7421875,62
180.66801476478577,14.7421875,211
181.68572854995728,14.7421875,46
182.71865367889404,14.7421875,236
183.73815751075745,14.7421875,54
184.76709985733032,14.7421875,47
185.78934955596924,14.7421875,59
186.8170986175537,14.7421875,25
187.8679895401001,14.7421875,201
188.88725757598877,14.7421875,48
189.9214482307434,14.7421875,28
190.96677494049072,14.7421875,43
192.00078988075256,14.7421875,181
193.0194797515869,14.7421875,244
194.03825497627258,14.7421875,28
195.0849256515503,14.7421875,48
196.10629630088806,14.7421875,60
197.13603949546814,14.7421875,48
198.16725826263428,14.7421875,142
199.18555879592896,14.7421875,26
200.23542475700378,14.7421875,47
201.2680435180664,14.7421875,195
202.28837275505066,14.7421875,54
203.31810021400452,14.7421875,191
204.33498072624207,14.7421875,26
205.38760638237,14.7421875,28
206.43532061576843,14.7421875,216
207.45557570457458,14.7421875,29
208.499253988266,14.7421875,41
209.53281617164612,14.7421875,139
210.55187344551086,14.7421875,45
211.58621335029602,14.7421875,132
212.6055769920349,14.7421875,55
213.63352060317993,14.7421875,42
214.67045617103577,14.7421875,50
215.70087695121765,14.7421875,169
216.71956753730774,14.7421875,48
217.7409529685974,14.7421875,62
218.76882481575012,14.7421875,45
219.8008406162262,14.7421875,165
220.81952595710754,14.7421875,50
221.84021043777466,14.7421875,55
222.87343621253967,14.7421875,59
223.903883934021,14.7421875,47
224.93351435661316,14.7421875,44
225.9562554359436,14.7421875,29
227.003662109375,14.7421875,49
228.02481055259705,14.7421875,57
229.0553436279297,14.7421875,53
230.08856916427612,14.7421875,52
231.12042784690857,14.7421875,49
232.1507089138031,14.7421875,154
233.16933178901672,14.7421875,44
234.20104885101318,14.7421875,161
235.22012424468994,14.7421875,49
236.2407727241516,14.7421875,61
237.26947021484375,14.7421875,46
238.30300307273865,14.7421875,47
239.33494400978088,14.7421875,44
240.3670732975006,14.7421875,136
241.38700103759766,14.7421875,48
242.4204499721527,14.7421875,49
243.45255041122437,14.7421875,205
244.47279524803162,14.7421875,53
245.50610280036926,14.7421875,53
246.536616563797,14.7421875,47
247.56924152374268,14.7421875,204
248.58817744255066,14.7421875,51
249.61913013458252,14.7421875,8
250.74264574050903,14.7421875,31
251.7786021232605,14.7421875,80
252.80309987068176,14.7421875,99
253.82332587242126,14.7421875,56
254.85105514526367,14.7421875,42
255.8885521888733,14.7421875,19
256.94170475006104,14.7421875,20
257.9917311668396,14.7421875,30
259.03719329833984,14.7421875,28
260.0741057395935,14.7421875,29
261.1177260875702,14.7421875,41
262.1554822921753,14.7421875,27
263.2028727531433,14.7421875,48
264.2242612838745,14.7421875,29
265.2696568965912,14.7421875,46
266.3039891719818,14.7421875,48
267.3357574939728,14.7421875,50
268.35672307014465,14.7421875,24
269.40042066574097,14.7421875,22
270.4515552520752,14.7421875,43
271.4843249320984,14.80078125,42
272.5204191207886,14.80078125,31
273.56391310691833,14.80078125,36
274.6055643558502,14.80078125,27
275.65534710884094,14.80078125,23
276.70458602905273,14.80078125,49
277.7361307144165,14.80078125,25
278.78850746154785,14.80078125,51
279.8210084438324,14.80078125,50
280.8565413951874,14.80078125,20
281.914249420166,14.80078125,27
282.9538550376892,14.80078125,26
283.99151825904846,14.80078125,30
285.03841638565063,14.80078125,41
286.07181906700134,14.80078125,19
287.1368851661682,14.80078125,20
288.18674659729004,14.80078125,46
289.22126841545105,14.80078125,38
290.25656390190125,14.80078125,20
291.3067853450775,14.80078125,29
292.3542957305908,14.80078125,20
293.40510630607605,14.80078125,19
294.457626581192,14.80078125,29
295.5041697025299,14.80078125,53
296.53791093826294,14.80078125,48
297.57026505470276,14.80078125,23
298.62286400794983,14.80078125,54
